month,yellow_taxi_crashes,hvfhv_crashes,all_industries_crashes,trips_yellow,miles_yellow,trips_hvfhv,miles_hvfhv,trips_all,miles_all,yellow_taxi_crashes_est,hvfhv_crashes_est,taxi_crash_rate_per_million_trips,hvfhv_crash_rate_per_million_trips,taxi_crash_rate_per_million_miles,hvfhv_crash_rate_per_million_miles,all_industries_crash_rate_per_million_trips,all_industries_crash_rate_per_million_miles
2023-01,0.0,0.0,944.0,3066731,11798780.37999948,18479031.0,89995431.7700013,21545762.0,101794212.15000078,109,835.0,35.54273263615231,45.18635203328573,9.238242978466628,9.2782487241573,43.81372076791715,9.273611731568304
2023-02,0.0,0.0,899.0,2914003,11271292.769998819,17960971.0,86478929.34201363,20874974.0,97750222.11201245,104,795.0,35.689736764169425,44.26264036615838,9.226980624336218,9.192990778781175,43.0659219024656,9.196910048652693
2023-03,0.0,0.0,985.0,3403660,13287691.259998323,20413539.0,100810703.45700388,23817199.0,114098394.7170022,115,870.0,33.78715852934782,42.618773746188744,8.654626131042008,8.63003599980887,41.356668347104964,8.632899721710299
2023-04,0.0,0.0,947.0,3288249,13469192.47999962,19144903.0,96124997.61700012,22433152.0,109594190.09699973,116,831.0,35.277133818028986,43.40580884635457,8.612246069855205,8.644993712364307,42.21430853764999,8.64096900722409
2023-05,0.0,0.0,1144.0,3513664,15269656.579999015,19847676.0,102288055.19901474,23361340.0,117557711.77901375,149,995.0,42.40587603140198,50.13181392118654,9.757914280480145,9.727431009066482,48.96979368478007,9.731390503334255
2023-06,0.0,0.0,1002.0,3307259,14448601.319999726,19366619.0,99433728.7840062,22673878.0,113882330.10400592,127,875.0,38.400379286895884,45.18083409396343,8.789778137500884,8.799830909496606,44.19182285447598,8.798555483409043
2023-07,0.0,0.0,992.0,2907093,13051210.539998105,19132131.0,98240789.39501648,22039224.0,111291999.93501458,116,876.0,39.90240422305031,45.786849358286325,8.888064417051144,8.91686646040364,45.01065917747376,8.913488845372955
2023-08,0.0,0.0,921.0,2824201,13507523.889999943,18322150.0,95838652.85799912,21146351.0,109346176.74799906,114,807.0,40.36539892167732,44.04504929825375,8.439740764360067,8.420402164831183,43.55361357616735,8.422791060382032
2023-09,0.0,0.0,1001.0,2846741,12167705.98999959,19851123.0,101114141.11299784,22697864.0,113281847.10299744,108,893.0,37.9381194144462,44.984860554236654,8.87595411072253,8.831603474750855,44.10106607388255,8.836367216804621
2023-10,0.0,0.0,1039.0,3522269,13830847.939999536,20186330.0,103382575.67799996,23708599.0,117213423.6179995,123,916.0,34.92067187372685,45.37724291636964,8.893164073062907,8.860293855059435,43.823762002976224,8.864172446546041
2023-11,0.0,0.0,963.0,3339731,12132351.149999795,19269250.0,98531034.60299985,22608981.0,110663385.75299965,106,857.0,31.739083177657122,44.47500551396655,8.73697098686447,8.697767190337693,42.59369318767617,8.702065217391896
2023-12,0.0,0.0,949.0,3376527,12412975.469999768,20516297.0,104616144.38299838,23892824.0,117029119.85299814,101,848.0,29.912392230241313,41.33299493568454,8.136647030689886,8.105823484523409,39.719038653614156,8.109092858188216
